,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
10553,3156924,Toyota,Yaris,9.543234787249512,9.694722352812153,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9861,3155527,Volkswagen,Golf,10.267957039940773,10.393382280717072,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15717,3166977,Skoda,Octavia,9.738023112808596,9.688929092124992,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
4071,3108987,Dacia,Duster,10.16199824768763,10.210198990702294,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12527,3161063,Mercedes-benz,C Class,10.081633737919603,10.092953090491465,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
11092,3158068,Toyota,Yaris,9.67721410821299,9.858521225847605,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9886,3155575,Opel,Crossland X,9.795345393916424,9.951260692824482,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
4987,3134236,Mercedes-benz,E Class,10.402746539930654,10.559860561874997,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15267,3166194,Toyota,Corolla,8.229511118964457,7.80906585130684,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3262,3104450,Volkswagen,Polo,9.392245175273795,9.316514755522114,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3230,3104303,Toyota,Aqua,9.3492323708428,9.330021094821541,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15792,3167095,Toyota,Prius,9.822819649468673,9.750158955527434,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
