,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
15799,3167103,Volkswagen,Touran,9.708080756193517,9.839305104895061,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13838,3163654,Bmw,5 Series,10.184522582266116,10.339844051928257,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
566,3088210,Nissan,Juke,9.21024036697585,9.83001116033648,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.9499759934478,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
6520,3138750,Bmw,1 Series,9.903487552536127,9.826088767120812,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2438,3100208,Kia,Sportage,9.74090979777877,9.664341992225909,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
6481,3138649,Audi,A3,9.947504437952903,10.07560015645947,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
10188,3156170,Audi,A3,9.811920359010637,10.033235865236156,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.543289536211326,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14886,3165522,Kia,Ceed,9.708080756193517,9.639659186324305,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2605,3101038,Mazda,CX-5,10.084766899751639,10.446777595781946,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
1383,3093634,Bmw,3 Series,9.82822506803558,10.006354216298574,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
