,id,make,model,true,predict,score,ccp_alpha,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
1771,3096267,Audi,Q3,9.67721410821299,9.970741439191189,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
4870,3133847,Land,ROVER Discovery Sport,11.00126616045566,10.85194041933638,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
10056,3155883,Volkswagen,T-Roc,10.500729376209001,10.556441643039662,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
11532,3159166,Peugeot,208,9.205327830152639,9.505288274285979,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
14918,3165572,Toyota,Rav4,10.266393046225497,10.517891564868242,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
12379,3160786,Kia,Sportage,10.124428680295138,10.258756238826024,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
3551,3106002,Bmw,2 Series,10.7131947990075,10.931874370966213,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
5964,3137269,Nissan,Micra,9.388486557359657,9.62706499104898,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
8934,3153371,Bmw,5 Series,10.124629101179664,10.018663864955503,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
4654,3133223,Toyota,Aqua,9.301094735244646,9.3161393037023,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
1320,3093200,Audi,A1,10.124629101179664,9.915223247344146,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
17509,3169802,Mercedes-benz,E Class,11.034082887057288,10.848216982365395,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
9076,3153664,Skoda,Superb,10.165813354725493,10.133223933397243,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
