,id,make,model,true,predict,score,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
14089,3164192,Hyundai,Kona,9.974644746852457,10.221292912745932,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
6849,3139803,Bmw,X3,9.975808214115753,9.612036119224245,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15967,3168373,Skoda,Karoq,10.307284603543595,10.239368955674164,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5171,3134873,Nissan,X-Trail,10.236381967809457,10.131679339362837,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
1694,3095794,Volkswagen,Golf,9.647949933410914,9.562712192327185,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5816,3136753,Mercedes-benz,C Class,10.221759448941915,10.361032110335216,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
14710,3165236,Nissan,Micra,9.099408811268901,9.149413685675801,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12799,3161613,Hyundai,i40,9.42504844446929,9.514172830945066,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
17005,3169031,Bmw,X1,10.122221395361638,9.956093965635379,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2941,3102824,Citroen,Berlingo,8.95531908176395,8.909920102590608,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
8933,3153370,Skoda,Karoq,10.238172478583245,10.32244851265112,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2311,3099564,Ford,S-Max,9.388486557359657,9.185709912401228,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
13292,3162549,Seat,Ibiza,9.798127036878302,9.791524648052711,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
8,3084450,Bmw,5 Series,10.477006245640542,10.414383484053095,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4943,3134116,Audi,A4,10.275016625615446,10.298364055627351,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4196,3109676,Kia,Sorento,11.06350846933288,10.920856682052984,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
16820,3168674,Ford,Transit Custom,10.448569664980209,10.341364203445677,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4375,3110771,Audi,A5,10.184522582266116,10.059415048464981,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4137,3109256,Volkswagen,Tiguan,10.203406942652387,10.343305904554855,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4301,3110058,Toyota,Hilux,9.543234787249512,9.580365499426252,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
908,3090593,Opel,Mokka,9.54287630006159,9.735927938926501,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5507,3139654,Ford,Ranger,10.7178562946849,10.747477767643627,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5388,3135572,Volkswagen,Tiguan,10.371927459805681,10.559426350603227,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4871,3133849,Ford,Kuga,9.878169744551839,9.930310196981981,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2053,3098171,Bmw,4 Series,10.239781201782993,10.45380871527702,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15104,3165899,Toyota,Rav4,10.25569252100341,10.503777290180569,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
6860,3139833,Nissan,Micra,11.141861783579396,9.349195756300242,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
13404,3162847,Peugeot,2008,10.307284603543595,10.195267678178437,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
16770,3168596,Ford,Transit Custom,10.062625773874425,9.84934238075072,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
17470,3169747,Ford,Kuga,9.927936232938437,9.980350729321012,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12745,3161502,Hyundai,Santa Fe,10.043032079974024,9.96053237668652,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
11275,3158430,Nissan,Qashqai,9.738023112808596,9.870156574887949,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
