,true,predict,make,model,score,alpha,epsilon,max_iter
12959,9.60911649193355,9.66905254094257,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
5964,9.388486557359657,9.459125344059599,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
4189,10.066881099444563,10.0610280237291,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
6488,9.8492953234527,9.92526871310574,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
9149,9.546455401949554,9.69548414315791,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
6116,9.413281215972873,9.454030162469266,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
2014,8.817149624743406,8.8477924234376,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
17247,9.510074525452104,9.40284629224293,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
16013,9.763938087586043,9.85561919574345,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
11622,9.506734385029985,9.619068642378986,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
13836,9.099408811268901,8.902972225193354,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
2301,8.691146498539675,8.72143889848224,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
14710,9.099408811268901,9.004661001948806,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
6860,11.141861783579396,9.08421416050786,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
5172,9.674074388208323,9.6132884940341,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
16257,7.824046010856292,8.216536175562675,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
15761,8.697846691109495,8.780452071418187,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
2271,8.817297783866575,8.757120399864446,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
4217,10.110501721920453,10.120282134218114,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
5170,9.539644119118783,9.5273327795571,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
2199,9.61547209118311,9.572058363131374,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
12304,9.79784922051313,9.779904439183863,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
14614,8.697846691109495,8.29849765901988,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
11010,9.740380214665977,9.694676511824309,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
6701,9.792555991828847,9.794681780335454,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
16811,9.875602349046593,9.88972359457707,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
3582,8.852950887099581,8.79632038235598,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
566,9.21024036697585,9.19662143098907,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
10108,10.12643108384767,10.029206886358681,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
1897,9.506734385029985,9.42973295886897,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
16245,9.674074388208323,9.548995483266205,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
14823,9.205327830152639,9.012770155942352,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
1940,9.532351404751555,9.683911780427204,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
15882,9.90323752128092,9.854157622432256,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
13268,9.205327830152639,9.224773662593012,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
