,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
11405,3158899,Kia,Sportage,10.03889218954233,10.032925738912587,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
13061,3162124,Mazda,Mazda2,9.795066803581708,9.825559957939541,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
14905,3165550,Ford,Transit Connect,10.163926888594034,10.084162778833024,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
8858,3153180,Kia,Sportage,10.568749529606537,10.548640092298385,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2476,3100342,Ford,Focus,9.902236770634476,9.916586698019394,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
11954,3160001,Seat,Leon,9.371608519572305,9.18623868221189,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
10845,3157545,Volkswagen,Polo,9.305195902988862,9.239139529422324,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
11002,3157899,Peugeot,208,10.165659490817816,10.073233506862515,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5763,3136572,Renault,Kadjar,9.735068900911164,9.828720369193377,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6210,3137859,Ford,Transit Custom,9.735068900911164,9.79917275497778,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5294,3135310,Toyota,Corolla,10.203406942652387,10.333475295247293,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
11916,3159913,Renault,Kadjar,9.99857043378282,9.929754023059871,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
8798,3153068,Volkswagen,Polo,9.07680897935166,9.083261417423868,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
11207,3158295,Kia,Sportage,10.201738576337144,10.243150014210652,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
