,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
10458,3156761,Renault,Clio,9.612466578818832,9.667852352117043,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
2087,3098350,Hyundai,Tucson,10.688415966213457,10.624037393333076,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
2434,3100192,Audi,A4,9.047821442478408,8.75721684680885,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
14196,3164369,Volkswagen,Golf,10.308785980087194,10.243596570771377,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
5055,3134469,Volkswagen,Tiguan,10.23099111917458,10.278532828306112,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
11552,3159201,Volkswagen,Polo,9.98736903651683,9.928834975950348,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
17035,3169080,Bmw,5 Series,10.69183127007966,10.574462083288438,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
16628,3168384,Volkswagen,Golf,10.274878680310541,10.402108083852749,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12006,3160095,Mercedes-benz,A Class,10.461673747661957,10.41779584924812,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3261,3104446,Toyota,Yaris,9.47231994707559,9.59528173283004,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
13914,3163786,Volkswagen,Golf,9.581559041355757,9.564000777574977,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
5618,3136163,Audi,A6,10.126631103850338,10.100170841140544,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
5279,3135275,Bmw,3 Series,8.846496938558838,8.877544263421706,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12528,3161066,Audi,A5,10.238172478583245,10.163531529044976,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
7127,3140629,Audi,A5,11.12652741957929,10.992551906759285,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
8239,3151774,Ford,Kuga,10.460242108190519,10.380306708745337,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4088,3109024,Kia,Sportage,10.370204536676056,10.316546603017914,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
6323,3138172,Renault,Megane,8.60337088765729,8.621935203812338,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
5419,3135650,Bmw,1 Series,9.795345393916424,9.807230731220002,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
9085,3153677,Toyota,Aqua,9.388486557359657,9.39245816886698,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3177,3104081,Nissan,Qashqai,10.124629101179664,10.176452027525457,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
1633,3095287,Ford,Focus,8.60337088765729,8.814073915035646,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
11061,3157992,Ford,Ranger,9.629050706834368,9.637196034409904,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3856,3107766,Hyundai,i30,10.253968352311533,10.202931711043314,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3027,3103265,Volkswagen,Golf,9.388486557359657,9.186481335123908,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
10634,3157100,Peugeot,3008,10.607821922486638,10.511342654301409,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
1950,3097470,Ford,Ranger,10.238172478583245,10.36338499316275,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12563,3161123,Renault,Kadjar,9.67721410821299,9.722107322025497,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
10800,3157469,Bmw,5 Series,9.104424146384634,9.11450111041874,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
9234,3154107,Kia,Stonic,9.784140794903562,10.091231815006001,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
5185,3134913,Land,ROVER Discovery Sport,10.373459931293572,10.40467841182614,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15048,3165813,Kia,Sportage,9.388486557359657,9.475366585513,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15244,3166161,Toyota,Auris,8.968268810776454,8.544772570252533,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
11703,3159533,Audi,A6,10.165659490817816,10.238203221128227,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
9657,3155044,Mitsubishi,Outlander,10.236202740279628,10.36348979331671,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
14316,3164583,Kia,Sportage,10.163926888594034,10.304663578662336,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4762,3133544,Nissan,Qashqai,10.184711314926863,9.969747411927571,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
13213,3162404,Volkswagen,Passat,10.201738576337144,10.057381201351276,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
10157,3156119,Seat,Ibiza,9.546455401949554,9.49261489507013,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
13401,3162839,Kia,Sportage,9.975808214115753,10.048170831462638,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
1523,3094683,Skoda,Superb,9.383873422737057,9.574782119370735,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12407,3160843,Mercedes-benz,CLA Class,10.184711314926863,10.345640500820492,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
11434,3158953,Toyota,Aqua,9.392245175273795,9.413231330453119,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
1213,3092510,Volkswagen,Tiguan,10.275051108968611,10.173884211174835,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
7905,3150978,Toyota,Corolla,10.238172478583245,10.280107283602751,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4679,3133302,Ford,Kuga,9.099408811268901,9.093303739172528,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
1384,3093640,Ford,Kuga,9.90323752128092,9.887457330611271,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15816,3167136,Volkswagen,Golf,9.674074388208323,9.780855478886114,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
8974,3153442,Seat,Ibiza,9.674074388208323,9.579199768921036,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
10364,3156579,Toyota,Auris,9.259130536145614,9.553387100788456,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
6547,3138826,Audi,A4,8.954802752850968,8.944122053475926,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
556,3088166,Volkswagen,Golf,9.185022563991893,9.219259981745116,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3220,3104270,Ford,Kuga,9.767094927630573,9.650906163944292,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
11239,3158352,Ford,Transit Connect,9.185022563991893,9.220293536365856,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
14041,3164110,Audi,A4,10.083723602839061,9.951520681813946,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
10994,3157881,Nissan,Qashqai,9.79784922051313,9.732864159829383,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
9640,3155013,Volvo,XC90,11.183726712315513,11.007668228991355,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4769,3133565,Honda,HR-V,10.402746539930654,10.431516210971962,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
17283,3169460,Bmw,5 Series,9.205327830152639,9.257698096327568,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3351,3104856,Ford,Kuga,10.085600754292345,9.98085545325464,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12184,3160444,Volkswagen,Passat,10.238172478583245,10.299025533200314,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
